Species,Locus,Stop
klebsiella_pneumoniae_KPC160117,NZ_CP040034.1,176069
klebsiella_pneumoniae_KPC160117,NZ_CP040035.1,147874
klebsiella_pneumoniae_KPC160117,NZ_CP040037.1,4322
salmonella_enterica_Se13,NZ_CP067337.1,4595475
salmonella_enterica_Se13,NZ_CP067338.1,21549
escherichia_coli_ECCHD184,NZ_CP033250.1,4783517
escherichia_coli_ECCHD184,NZ_CP033251.1,163927
escherichia_coli_ECCHD184,NZ_CP033252.1,109834
raoultella_ornithinolytica_Yangling-I2,NZ_CP013338.1,5492548
raoultella_ornithinolytica_Yangling-I2,NZ_CP013339.1,151713
raoultella_ornithinolytica_Yangling-I2,NZ_CP013340.1,139714
salmonella_enterica_CFSAN017963,NZ_CP017720.1,4716079
salmonella_enterica_CFSAN017963,NZ_CP017721.1,279752
salmonella_enterica_CFSAN017963,NZ_CP017722.1,7449
enterobacter_cloacae_AR-0163,NZ_CP021749.1,5170760
enterobacter_cloacae_AR-0163,NZ_CP021750.1,43545
streptococcus_pneumoniae_4041STDY6583227,NZ_LS483450.1,2157470
klebsiella_pneumoniae_IR5065,NZ_CP061948.1,5364857
klebsiella_pneumoniae_IR5065,NZ_CP061949.1,294316
klebsiella_pneumoniae_IR5065,NZ_CP061950.1,35274
klebsiella_pneumoniae_IR5065,NZ_CP061951.1,76652
akkermansia_muciniphila_EB-AMDK-31,NZ_CP027007.1,2835645
raoultella_ornithinolytica_172117885,NZ_CP046672.1,5575035
salmonella_enterica_Se29,NZ_CP070222.1,4858882
escherichia_coli_2014C-3061,NZ_CP027548.1,5303467
escherichia_coli_2014C-3061,NZ_CP027549.1,93156
enterococcus_faecium_Dallas-55,NZ_CP066421.1,2877302
enterococcus_faecium_Dallas-55,NZ_CP066425.1,11893
enterococcus_faecium_Dallas-55,NZ_CP066422.1,201002
enterococcus_faecium_Dallas-55,NZ_CP066424.1,35936
enterococcus_faecium_Dallas-55,NZ_CP066426.1,3800
enterococcus_faecium_Dallas-55,NZ_CP066423.1,54681
salmonella_enterica_R16.0676,NZ_CP029800.1,4672597
salmonella_enterica_R16.0676,NZ_CP029801.1,33694
salmonella_enterica_R16.0676,NZ_CP029802.1,89923
klebsiella_pneumoniae_KP980,NZ_LR025088.1,5216236
klebsiella_pneumoniae_KP980,NZ_LR025089.1,220159
klebsiella_pneumoniae_KP980,NZ_LR025090.1,53134
klebsiella_pneumoniae_KP980,NZ_LR025091.1,63294
lactiplantibacillus_plantarum_PC520,NZ_CP023772.1,3341569
lactiplantibacillus_plantarum_PC520,NZ_CP023773.1,56283
lactiplantibacillus_plantarum_PC520,NZ_CP023774.1,53026
escherichia_coli_65COLEC,NZ_CP070914.1,4722067
escherichia_coli_65COLEC,NZ_CP070915.1,217265
escherichia_coli_65COLEC,NZ_CP070916.1,106049
escherichia_coli_65COLEC,NZ_CP070917.1,4710
escherichia_coli_65COLEC,NZ_CP070918.1,2387
escherichia_coli_65COLEC,NZ_CP070919.1,1048
clostridioides_difficile_BR81,NZ_CP019870.1,4124371
enterobacter_hormaechei_RHBSTW-00642,NZ_CP056676.1,5032246
enterobacter_hormaechei_RHBSTW-00642,NZ_CP056677.1,92507
enterobacter_hormaechei_RHBSTW-00642,NZ_CP056678.1,87300
enterobacter_hormaechei_RHBSTW-00642,NZ_CP056679.1,4266
enterobacter_hormaechei_RHBSTW-00642,NZ_CP056680.1,2197
enterobacter_hormaechei_RHBSTW-00642,NZ_CP056681.1,322
bacillus_velezensis_CSUSB3,NZ_CP083943.1,4088135
streptomyces_sp._Tu-2975,NZ_CP047140.1,7623762
pediococcus_pentosaceus_GDIAS001,NZ_CP046938.1,1830822
bacillus_cereus_21155,NZ_CP068719.1,5548860
bacillus_cereus_21155,NZ_CP068720.1,647086
bacillus_cereus_21155,NZ_CP068721.1,41491
bacillus_cereus_21155,NZ_CP068722.1,10684
bacillus_cereus_21155,NZ_CP068723.1,7272
blautia_producta_DSM-2950,NZ_CP039126.1,6245197
bacillus_cereus_FORC-048,NZ_CP017234.1,5358031
providencia_rettgeri_PreM15628,NZ_CP076405.1,4367745
escherichia_coli_CY598,NZ_CP068283.1,4688839
escherichia_coli_CY598,NZ_CP068284.1,66982
campylobacter_coli_YH503,NZ_CP025281.1,1705710
campylobacter_coli_YH503,NZ_CP025282.1,107271
proteus_mirabilis_AR-0059,NZ_CP020052.1,4190052
escherichia_coli_1916D18,NZ_CP046000.1,4828068
escherichia_coli_1916D18,NZ_CP045998.1,59342
escherichia_coli_1916D18,NZ_CP045999.1,78475
campylobacter_coli_C203016,NZ_CP082947.1,1702241
escherichia_coli_STEC309,NZ_CP041435.1,4916942
escherichia_coli_STEC309,NZ_CP041436.1,88686
klebsiella_pneumoniae_Kpn-13,NZ_CP047707.1,5155347
klebsiella_pneumoniae_Kpn-13,NZ_CP047708.1,180290
klebsiella_pneumoniae_Kpn-13,NZ_CP047709.1,81401
pseudomonas_aeruginosa_M37351,NZ_CP008863.1,6897148
escherichia_coli_2017.01.04CC,NZ_AP021891.1,4615330
microbacterium_sp._A18JL241,NZ_CP063815.1,3267127
klebsiella_pneumoniae_TA6363,NZ_AP019665.1,5318050
klebsiella_pneumoniae_TA6363,NZ_AP019666.1,165971
klebsiella_pneumoniae_TA6363,NZ_AP019667.1,88657
klebsiella_pneumoniae_TA6363,NZ_AP019668.1,80451
staphylococcus_aureus_UP-338,NZ_CP047851.1,2813505
pseudomonas_aeruginosa_paerg002,NZ_LR130527.1,6451470
escherichia_coli_2018-11-3CC,NZ_AP021895.1,4557476
bacillus_sp._275,NZ_CP019626.1,4042513
bacillus_sp._275,NZ_CP019627.1,4944
campylobacter_coli_AR-0411,NZ_CP044175.1,1749876
campylobacter_coli_AR-0411,NZ_CP044176.1,92779
salmonella_enterica_SLR1-8245,NZ_CP080091.1,4679660
salmonella_enterica_SLR1-8245,NZ_CP080092.1,58867
salmonella_enterica_SLR1-8245,NZ_CP080093.1,55227
salmonella_enterica_SLR1-8245,NZ_CP080094.1,31724
coxiella_burnetii_nine-mile-phase-II,NZ_CP035112.1,1987009
coxiella_burnetii_nine-mile-phase-II,NZ_CP035111.1,37044
clostridium_sporogenes_CDC-67071,NZ_CP013242.1,4116225
clostridium_sporogenes_CDC-67071,NZ_CP013241.1,235446
streptococcus_agalactiae_SG-M6,NZ_CP021869.1,2104663
lactobacillus_sp._CBA3605,NZ_CP027190.1,2494611
lactobacillus_sp._CBA3605,NZ_CP027191.1,34960
lactobacillus_sp._CBA3605,NZ_CP027192.1,11058
lactobacillus_sp._CBA3605,NZ_CP027193.1,9923
serratia_marcescens_WVU-007,NZ_CP041130.1,5324346
pseudomonas_sp._FDAARGOS-761,NZ_CP054572.1,6384338
escherichia_coli_WP3-W18-ESBL-07,NZ_AP021998.1,5016447
escherichia_coli_WP3-W18-ESBL-07,NZ_AP021999.1,104273
escherichia_coli_WP3-W18-ESBL-07,NZ_AP022000.1,5743
escherichia_coli_WP3-W18-ESBL-07,NZ_AP022001.1,5064
escherichia_coli_WP3-W18-ESBL-07,NZ_AP022002.1,3932
streptomyces_sp._SAT1,NZ_CP015849.1,7472530
vibrio_cholerae_NCTC9420,NZ_CP013319.1,3008383
vibrio_cholerae_NCTC9420,NZ_CP013320.1,1067996
listeria_monocytogenes_LM42,NZ_CP076626.1,2911569
morganella_morganii_FAM24675,NZ_CP066133.1,4225413
morganella_morganii_FAM24675,NZ_CP066134.1,65233
morganella_morganii_FAM24675,NZ_CP066135.1,3082
morganella_morganii_FAM24675,NZ_CP066136.1,9938
escherichia_coli_720632,NZ_CP025842.1,4816429
escherichia_coli_720632,NZ_CP025843.1,7689
escherichia_coli_720632,NZ_CP025845.1,72003
escherichia_coli_720632,NZ_CP025846.1,86004
escherichia_coli_720632,NZ_CP025844.1,91858
salmonella_enterica_CFSAN000189,NZ_CP045753.1,4725824
salmonella_enterica_CFSAN000189,NZ_CP045752.1,80853
akkermansia_muciniphila_EB-AMDK-41,NZ_CP029702.1,3155889
parvimonas_micra_NCTC11808,NZ_LR134472.1,1677304
klebsiella_pneumoniae_RIVM-C015043,NZ_CP068798.1,5441645
aeromonas_veronii_WP8-W19-CRE-03,NZ_AP022281.1,4555128
aeromonas_veronii_WP8-W19-CRE-03,NZ_AP022282.1,165389
aeromonas_veronii_WP8-W19-CRE-03,NZ_AP022283.1,46832
aeromonas_veronii_WP8-W19-CRE-03,NZ_AP022284.1,12156
aeromonas_veronii_WP8-W19-CRE-03,NZ_AP022285.1,5475
aeromonas_veronii_WP8-W19-CRE-03,NZ_AP022286.1,4836
mycobacterium_tuberculosis_MDRDM260,NZ_CP023583.1,4410677
listeria_monocytogenes_Lm-3136,NZ_CP013723.1,2905060
pseudomonas_aeruginosa_FDAARGOS-505,NZ_CP033832.1,7028950
klebsiella_pneumoniae_KPNIH49,NZ_CP026178.1,5402915
klebsiella_pneumoniae_KPNIH49,NZ_CP026183.1,6811
klebsiella_pneumoniae_KPNIH49,NZ_CP026182.1,60214
klebsiella_pneumoniae_KPNIH49,NZ_CP026181.1,93707
klebsiella_pneumoniae_KPNIH49,NZ_CP026185.1,40292
klebsiella_pneumoniae_KPNIH49,NZ_CP026184.1,59511
klebsiella_pneumoniae_KPNIH49,NZ_CP026179.1,237081
klebsiella_pneumoniae_KPNIH49,NZ_CP026186.1,372782
klebsiella_pneumoniae_KPNIH49,NZ_CP026180.1,96909
escherichia_coli_EC25,NZ_CP035123.1,4782357
escherichia_coli_EC25,NZ_CP035124.1,227348
escherichia_coli_EC25,NZ_CP035126.1,3666
escherichia_coli_EC25,NZ_CP035127.1,4209
escherichia_coli_EC25,NZ_CP035128.1,2927
escherichia_coli_EC25,NZ_CP035125.1,46079
salmonella_enterica_SE81,NZ_CP050721.1,4737956
salmonella_enterica_SE81,NZ_CP050722.1,58867
lactiplantibacillus_plantarum_GR0128,NZ_CP070847.1,3210535
lactiplantibacillus_plantarum_GR0128,NZ_CP070849.1,63359
lactiplantibacillus_plantarum_GR0128,NZ_CP070848.1,24968
lactiplantibacillus_plantarum_GR0128,NZ_CP070850.1,31224
bacillus_sp._H15-1,NZ_CP018249.1,4161538
staphylococcus_haemolyticus_SGAir0252,NZ_CP025031.1,2632775
staphylococcus_haemolyticus_SGAir0252,NZ_CP025033.1,41516
acinetobacter_baumannii_AR-0056,NZ_CP026707.1,3990330
acinetobacter_baumannii_AR-0056,NZ_CP026705.1,112383
acinetobacter_baumannii_AR-0056,NZ_CP026706.1,71168
acinetobacter_baumannii_AR-0056,NZ_CP026708.1,8279
salmonella_enterica_SA20026289,NZ_CP022490.1,4734880
escherichia_coli_NT1F25,NZ_CP075472.1,4616760
escherichia_coli_NT1F25,NZ_CP075471.1,121762
salmonella_enterica_CFSAN060808,NZ_CP075108.1,4659910
enterococcus_gallinarum_FDAARGOS-163,NZ_CP014067.2,3732392
enterococcus_gallinarum_FDAARGOS-163,NZ_CP014068.2,87067
enterococcus_faecalis_T90-1,NZ_CP068249.1,3038392
enterococcus_faecalis_T90-1,NZ_CP068250.1,54148
salmonella_enterica_2020LSAL11867,NZ_CP073715.1,4666826
salmonella_enterica_2020LSAL11867,NZ_CP073716.1,4605
salmonella_enterica_2020LSAL11867,NZ_CP073717.1,3359
escherichia_coli_2015C-4944,NZ_CP027390.1,5802217
escherichia_coli_2015C-4944,NZ_CP027391.1,98153
campylobacter_jejuni_TS1218,NZ_CP017860.1,1762374
campylobacter_jejuni_TS1218,NZ_CP017861.1,42968
helicobacter_pylori_ASHA-004,NZ_CP051434.1,1614901
clostridium_butyricum_CDC-51208,NZ_CP013239.1,3808800
clostridium_butyricum_CDC-51208,NZ_CP013240.1,9565
clostridium_butyricum_CDC-51208,NZ_CP013238.1,818456
bacillus_subtilis_UD1022,NZ_CP011534.1,4025109
escherichia_coli_BW25113-substr.-CHXR1G20,NZ_CP069132.1,4631441
citrobacter_amalonaticus_86,NZ_LT556084.1,5047848
escherichia_coli_TUM18530,NZ_AP023190.1,4894443
escherichia_coli_TUM18530,NZ_AP023191.1,272366
escherichia_coli_TUM18530,NZ_AP023192.1,114798
escherichia_coli_TUM18530,NZ_AP023193.1,112220
escherichia_coli_TUM18530,NZ_AP023194.1,47193
escherichia_coli_TUM18530,NZ_AP023195.1,7091
escherichia_coli_TUM18530,NZ_AP023196.1,2014
aeromonas_salmonicida_J410,NZ_CP047376.1,4617554
aeromonas_salmonicida_J410,NZ_CP047377.1,72097
klebsiella_pneumoniae_RHBSTW-00128,NZ_CP056830.1,5344537
klebsiella_pneumoniae_RHBSTW-00128,NZ_CP056831.1,151499
klebsiella_pneumoniae_RHBSTW-00128,NZ_CP056832.1,5661
klebsiella_pneumoniae_RHBSTW-00128,NZ_CP056833.1,3970
acinetobacter_baumannii_ATCC-17978-mff,NZ_CP012004.1,3857162
acinetobacter_baumannii_ATCC-17978-mff,NZ_CP012005.1,148955
escherichia_coli_MS6192,NZ_CP054940.1,4879035
escherichia_coli_MS6192,NZ_CP054941.1,142660
escherichia_coli_MS6192,NZ_CP054942.1,76521
escherichia_coli_MS6192,NZ_CP054943.1,85690
escherichia_coli_MS6192,NZ_CP054944.1,2903
acinetobacter_haemolyticus_AN4,NZ_CP031979.1,3546572
acinetobacter_haemolyticus_AN4,NZ_CP031983.1,4151
acinetobacter_haemolyticus_AN4,NZ_CP031982.1,4210
acinetobacter_haemolyticus_AN4,NZ_CP031981.1,9422
acinetobacter_haemolyticus_AN4,NZ_CP031980.1,107440
mycobacterium_tuberculosis_3-0124P6C4,NZ_CP041826.1,4447041
klebsiella_pneumoniae_AR-0158,NZ_CP021696.1,5164150
klebsiella_pneumoniae_AR-0158,NZ_CP021697.1,190610
klebsiella_pneumoniae_AR-0158,NZ_CP021698.1,87356
klebsiella_pneumoniae_AR-0158,NZ_CP021699.1,353181
klebsiella_pneumoniae_AR-0158,NZ_CP021700.1,8177
klebsiella_pneumoniae_FDAARGOS-1327,NZ_CP069828.1,5317505
klebsiella_pneumoniae_FDAARGOS-1327,NZ_CP069833.1,78910
klebsiella_pneumoniae_FDAARGOS-1327,NZ_CP069829.1,39634
klebsiella_pneumoniae_FDAARGOS-1327,NZ_CP069834.1,31148
klebsiella_pneumoniae_FDAARGOS-1327,NZ_CP069830.1,4531
klebsiella_pneumoniae_FDAARGOS-1327,NZ_CP069835.1,3243
klebsiella_pneumoniae_FDAARGOS-1327,NZ_CP069831.1,3861
klebsiella_pneumoniae_FDAARGOS-1327,NZ_CP069832.1,3980
klebsiella_pneumoniae_FDAARGOS-1327,NZ_CP069836.1,2402
klebsiella_pneumoniae_FDAARGOS-1327,NZ_CP069838.1,2297
klebsiella_pneumoniae_FDAARGOS-1327,NZ_CP069839.1,1268
klebsiella_pneumoniae_FDAARGOS-1327,NZ_CP069837.1,1346
staphylococcus_aureus_NCCP-16830,NZ_CP043843.1,2795060
staphylococcus_aureus_NCCP-16830,NZ_CP043844.1,19027
campylobacter_lanienae_NCTC-13003,NZ_CP018788.1,1593864
citrobacter_freundii_UMH14,NZ_CP024680.1,4859208
citrobacter_freundii_UMH14,NZ_CP024681.1,134284
citrobacter_freundii_UMH14,NZ_CP024682.1,70206
enterobacter_hormaechei_CAV1411,NZ_CP011581.1,4880561
enterobacter_hormaechei_CAV1411,NZ_CP011579.1,33209
enterobacter_hormaechei_CAV1411,NZ_CP011580.1,89918
escherichia_coli_PAR,NZ_CP012379.1,4859719
enterobacter_asburiae_1808-013,NZ_AP019632.1,4639252
enterobacter_asburiae_1808-013,NZ_AP019633.1,130267
klebsiella_oxytoca_CAV1335,NZ_CP011618.1,6229104
klebsiella_oxytoca_CAV1335,NZ_CP011617.1,115092
klebsiella_oxytoca_CAV1335,NZ_CP011616.1,117210
klebsiella_oxytoca_CAV1335,NZ_CP011613.1,5019
klebsiella_oxytoca_CAV1335,NZ_CP011614.1,91945
klebsiella_oxytoca_CAV1335,NZ_CP011615.1,112771
mycobacterium_tuberculosis_TBV5365,NZ_CP023591.1,4410795
escherichia_coli_1303,NZ_CP009166.1,4948773
escherichia_coli_1303,NZ_CP009167.1,108355
escherichia_coli_1303,NZ_CP009169.1,3941
escherichia_coli_1303,NZ_CP009168.1,94733
escherichia_coli_55989,NC_011748.1,5154851
pseudomonas_fluorescens_UK4,NZ_CP008896.1,6064348
klebsiella_pneumoniae_AR-0143,NZ_CP021708.1,5438991
klebsiella_pneumoniae_AR-0143,NZ_CP021709.1,186665
klebsiella_pneumoniae_AR-0143,NZ_CP021710.1,211720
klebsiella_pneumoniae_AR-0143,NZ_CP021711.1,77253
klebsiella_pneumoniae_AR-0143,NZ_CP021712.1,69595
campylobacter_jejuni_00-2426,NC_022352.2,1680718
acinetobacter_baumannii_NCTC13421,NZ_LS483472.1,4043492
vibrio_cholerae_FORC-055,NZ_CP016987.1,3027961
vibrio_cholerae_FORC-055,NZ_CP016988.1,1067402
klebsiella_pneumoniae_K-1L,NZ_CP072460.1,5420001
klebsiella_pneumoniae_K-1L,NZ_CP072461.1,300471
klebsiella_pneumoniae_K-1L,NZ_CP072462.1,8903
stenotrophomonas_maltophilia_ISMMS3,NZ_CP011010.1,4803873
enterococcus_faecium_VBO39,NZ_CP074107.1,2424604
enterococcus_faecium_VBO39,NZ_CP074108.1,164493
escherichia_coli_Escherichia-coli-str.-TO60,NZ_LS992168.1,5031144
escherichia_coli_Escherichia-coli-str.-TO60,NZ_LS992169.1,172593
escherichia_coli_Escherichia-coli-str.-TO60,NZ_LS992170.1,45245
klebsiella_pneumoniae_30660-NJST258-1,NZ_CP006923.1,5262626
klebsiella_pneumoniae_30660-NJST258-1,NZ_CP006927.1,142502
klebsiella_pneumoniae_30660-NJST258-1,NZ_CP006926.1,73054
klebsiella_pneumoniae_30660-NJST258-1,NZ_CP006925.1,35712
klebsiella_pneumoniae_30660-NJST258-1,NZ_CP006928.1,14086
klebsiella_pneumoniae_30660-NJST258-1,NZ_CP006924.1,10078
staphylococcus_aureus_TUM9458,NZ_AP019305.1,2963199
klebsiella_pneumoniae_3347689I,NZ_CP071086.1,5619897
klebsiella_pneumoniae_3347689I,NZ_CP071087.1,222513
klebsiella_pneumoniae_3347689I,NZ_CP071088.1,6881
klebsiella_pneumoniae_3347689I,NZ_CP071089.1,3681
klebsiella_pneumoniae_1084,NC_018522.1,5386015
helicobacter_pylori_HE170-09,NZ_LT635472.1,1670213
listeria_monocytogenes_08-6056,NZ_CP007009.1,3032307
klebsiella_aerogenes_FDAARGOS-139,NZ_CP014748.2,5214322
klebsiella_aerogenes_FDAARGOS-139,NZ_CP014747.1,82007
escherichia_coli_WCHEC035148,NZ_CP029369.1,4695544
escherichia_coli_WCHEC035148,NZ_CP029365.1,88835
escherichia_coli_WCHEC035148,NZ_CP029368.1,121449
escherichia_coli_WCHEC035148,NZ_CP029366.1,1149
escherichia_coli_WCHEC035148,NZ_CP029367.1,33395
fusobacterium_nucleatum_MGYG-HGUT-01347,NZ_LR698955.1,2267695
klebsiella_pneumoniae_ABFQB,NZ_CP036438.1,5292654
klebsiella_pneumoniae_ABFQB,NZ_CP036439.1,115012
klebsiella_pneumoniae_ABFQB,NZ_CP036440.1,51196
klebsiella_pneumoniae_ABFQB,NZ_CP036441.1,18509
listeria_monocytogenes_10-0814,NZ_CP008836.1,2998988
bifidobacterium_longum_BORI,NZ_CP031133.1,2310702
escherichia_coli_E2348-69,NC_011601.1,4965529
escherichia_coli_E2348-69,NC_011603.1,97353
escherichia_coli_E2348-69,NC_011602.1,5099
citrobacter_werkmanii_FDAARGOS-364,NZ_CP023504.1,4884808
escherichia_coli_6A,NZ_CP026349.1,4651597
staphylococcus_saprophyticus_ATCC-15305,NC_007350.1,2516352
staphylococcus_saprophyticus_ATCC-15305,NC_007351.1,38337
staphylococcus_saprophyticus_ATCC-15305,NC_007352.1,22796
streptococcus_lutetiensis_NCTC8796,NZ_LR594044.1,1806849
escherichia_coli_RIVM-C029020,NZ_CP068812.1,5250239
lactococcus_lactis_FDAARGOS-865,NZ_CP065737.1,2518329
lactococcus_lactis_FDAARGOS-865,NZ_CP065736.1,57583
pseudomonas_putida_E46,NZ_CP024086.1,6180344
escherichia_coli_NT1F31,NZ_CP045190.1,4710147
escherichia_coli_NT1F31,NZ_CP045191.1,112751
escherichia_coli_NT1F31,NZ_CP045189.1,95842
escherichia_coli_NT1F31,NZ_CP045188.1,115197
mycobacterium_tuberculosis_GG-5-10,NZ_CP025594.1,4410839
listeria_monocytogenes_10-092876-1763-LM10,NZ_CP019623.1,2940726
salmonella_enterica_PM016-13,NZ_CP012091.1,4793038
acinetobacter_baumannii_PM194229,NZ_CP050432.1,3885520
acinetobacter_baumannii_PM194229,NZ_CP050433.1,225666
acinetobacter_baumannii_PM194229,NZ_CP050434.1,10423
acinetobacter_baumannii_PM194229,NZ_CP050435.1,8479
salmonella_enterica_USDA-ARS-USMARC-76334,NZ_CP025454.1,4762708
salmonella_enterica_USDA-ARS-USMARC-76334,NZ_CP025455.1,96014
helicobacter_pylori_SS1,NZ_CP009259.1,1618796
helicobacter_pylori_SS1,NZ_CP009260.1,5008
klebsiella_pneumoniae_F81,NZ_CP026164.1,5163751
klebsiella_pneumoniae_F81,NZ_CP026165.1,111201
klebsiella_pneumoniae_F81,NZ_CP026166.1,210412
bacillus_anthracis_Sterne,NZ_CP009541.1,5226685
bacillus_anthracis_Sterne,NZ_CP009540.1,181389
staphylococcus_aureus_FDAARGOS-48,NZ_CP026953.1,2834422
staphylococcus_aureus_FDAARGOS-48,NZ_CP026954.1,6318
staphylococcus_aureus_FDAARGOS-48,NZ_CP026955.1,4091
staphylococcus_aureus_FDAARGOS-48,NZ_CP026956.1,2117
mycobacterium_tuberculosis_F11,NC_009565.1,4423933
staphylococcus_aureus_20-LA-415,NZ_LT992475.1,2904888
rhizobium_sp._IE4771,NZ_CP006986.1,4474383
rhizobium_sp._IE4771,NZ_CP006987.1,244771
rhizobium_sp._IE4771,NZ_CP006988.1,393846
rhizobium_sp._IE4771,NZ_CP006989.1,470125
rhizobium_sp._IE4771,NZ_CP006990.1,729172
rhizobium_sp._IE4771,NZ_CP006991.1,744104
staphylococcus_epidermidis_V1950266,NZ_CP073904.1,2712086
staphylococcus_epidermidis_V1950266,NZ_CP073905.1,27907
staphylococcus_epidermidis_V1950266,NZ_CP073903.1,12172
desulfovibrio_sp._G11,NZ_CP023415.1,3414669
providencia_sp._1701011,NZ_CP042859.1,4595551
enterococcus_raffinosus_CX012922,NZ_CP081846.1,2826302
enterococcus_raffinosus_CX012922,NZ_CP081847.1,984593
campylobacter_jejuni_CJ677CC052,NZ_CP010505.1,1635207
pseudomonas_aeruginosa_PAC1,NZ_CP053706.1,7563703
lactiplantibacillus_plantarum_KP,NZ_CP013749.1,3417297
lactiplantibacillus_plantarum_KP,NZ_CP013750.1,127156
lactiplantibacillus_plantarum_KP,NZ_CP013751.1,78056
lactiplantibacillus_plantarum_KP,NZ_CP013752.1,68030
escherichia_coli_RIVM-C028620,NZ_CP068815.1,5191872
lactiplantibacillus_plantarum_plantarum,NC_021224.2,3035214
lactiplantibacillus_plantarum_plantarum,NC_021233.2,45204
lactiplantibacillus_plantarum_plantarum,NC_021225.2,48724
lactiplantibacillus_plantarum_plantarum,NC_021226.2,39461
lactiplantibacillus_plantarum_plantarum,NC_021234.2,34960
lactiplantibacillus_plantarum_plantarum,NC_021227.2,16032
lactiplantibacillus_plantarum_plantarum,NC_021228.1,8569
lactiplantibacillus_plantarum_plantarum,NZ_CP010527.1,15145
halomonas_sp._1513,NZ_CP019326.1,4129090
escherichia_coli_2018-02-2CC,NZ_AP021896.1,4574454
escherichia_coli_2018-02-2CC,NZ_AP021897.1,44567
corynebacterium_ulcerans_809,NC_017317.1,2502052
streptococcus_agalactiae_WC1535,NZ_CP016501.2,2189474
clostridium_botulinum_Mfbjulcb6,NZ_CP027778.1,4004586
clostridioides_difficile_10-00078,NZ_CP026597.1,4119091
escherichia_coli_WCHEC000837,NZ_CP032879.1,5094110
escherichia_coli_WCHEC000837,NZ_CP032875.1,92322
escherichia_coli_WCHEC000837,NZ_CP032876.1,3431
escherichia_coli_WCHEC000837,NZ_CP032878.1,45091
escherichia_coli_WCHEC000837,NZ_CP032877.1,150256
staphylococcus_epidermidis_B1262351,NZ_CP073836.1,2713765
staphylococcus_epidermidis_B1262351,NZ_CP073837.1,13521
staphylococcus_epidermidis_B1262351,NZ_CP073838.1,6279
clostridium_perfringens_CPI-75-1,NZ_CP075922.1,3296406
clostridium_perfringens_CPI-75-1,NZ_CP075923.1,75068
clostridium_perfringens_CPI-75-1,NZ_CP075924.1,62433
clostridium_perfringens_CPI-75-1,NZ_CP075925.1,10060
clostridium_perfringens_CPI-75-1,NZ_CP075926.1,8175
salmonella_enterica_PNCS014863,NZ_CP037879.1,4984367
salmonella_enterica_PNCS014863,NZ_CP037878.1,5668
escherichia_coli_S10EC,NZ_CP076697.1,5051817
escherichia_coli_S10EC,NZ_CP076699.1,102029
escherichia_coli_S10EC,NZ_CP076698.1,34206
escherichia_coli_S10EC,NZ_CP076700.1,922
salmonella_enterica_SEE1,NZ_CP011790.1,4678349
stenotrophomonas_maltophilia_OUC-Est10,NZ_CP015612.1,4668528
citrobacter_freundii_CAV1857,NZ_CP037734.1,4947182
citrobacter_freundii_CAV1857,NZ_CP037736.1,104366
citrobacter_freundii_CAV1857,NZ_CP037741.1,1131
citrobacter_freundii_CAV1857,NZ_CP037735.1,208055
citrobacter_freundii_CAV1857,NZ_CP037740.1,2734
citrobacter_freundii_CAV1857,NZ_CP037738.1,47165
citrobacter_freundii_CAV1857,NZ_CP037739.1,42493
citrobacter_freundii_CAV1857,NZ_CP037737.1,85279
salmonella_enterica_USDA-ARS-USMARC-76337,NZ_CP025449.1,4763901
aeromonas_jandaei_4608,NZ_CP053881.1,4507609
klebsiella_pneumoniae_AR-0079,NZ_CP028994.1,5510674
klebsiella_pneumoniae_AR-0079,NZ_CP029000.1,125861
klebsiella_pneumoniae_AR-0079,NZ_CP028999.1,45790
klebsiella_pneumoniae_AR-0079,NZ_CP028998.1,9030
klebsiella_pneumoniae_AR-0079,NZ_CP028997.1,109864
klebsiella_pneumoniae_AR-0079,NZ_CP028996.1,175845
klebsiella_pneumoniae_AR-0079,NZ_CP028995.1,152064
morganella_morganii_FDAARGOS-1085,NZ_CP068145.1,3974888
escherichia_coli_XH992,NZ_CP019392.1,5143147
escherichia_coli_XH992,NZ_CP019394.1,248317
escherichia_coli_XH992,NZ_CP019395.1,91128
escherichia_coli_XH992,NZ_CP019393.1,60948
acinetobacter_baumannii_2014BJAB1,NZ_CP059354.1,4069276
acinetobacter_baumannii_ATCC-19606,NZ_CP059040.1,3980182
klebsiella_pneumoniae_INF163,NZ_CP024549.1,5297607
klebsiella_pneumoniae_INF163,NZ_CP024550.1,187335
klebsiella_pneumoniae_INF163,NZ_CP024551.1,147181
klebsiella_pneumoniae_INF163,NZ_CP024552.1,88952
klebsiella_pneumoniae_INF163,NZ_CP024553.1,3960
klebsiella_pneumoniae_INF163,NZ_CP024554.1,3714
klebsiella_pneumoniae_INF163,NZ_CP024555.1,3822
pediococcus_acidilactici_MT25,NZ_CP083725.1,1869023
staphylococcus_aureus_196,NZ_CP077928.1,2754048
staphylococcus_aureus_196,NZ_CP077930.1,42171
staphylococcus_aureus_196,NZ_CP077929.1,30537
pseudomonas_putida_DLL-E4,NZ_CP007620.1,6483888
enterobacter_hormaechei_AR-038,NZ_CP030347.1,5018050
enterobacter_hormaechei_AR-038,NZ_CP030345.1,152715
enterobacter_hormaechei_AR-038,NZ_CP030346.1,4725
enterobacter_hormaechei_AR-038,NZ_CP030348.1,1455
enterobacter_hormaechei_AR-038,NZ_CP030349.1,1876
enterobacter_hormaechei_AR-038,NZ_CP030350.1,106203
